shapeid,partid,x,y
"0","0",353441.546,5619310.871
"0","0",353436.456,5619320.44
"0","0",353441.366999999,5619323.051
"0","0",353443.618000001,5619318.82
"0","0",353446.456999999,5619313.483
"0","0",353441.546,5619310.871
"1","0",353465.743999999,5619311.902
"1","0",353462.921999998,5619314.743
"1","0",353461.096000001,5619318.234
"1","0",353460.931000002,5619321.058
"1","0",353470.149999999,5619325.881
"1","0",353503.932,5619335.123
"1","0",353506.129000001,5619333.419
"1","0",353507.963,5619329.912
"1","0",353508.653999999,5619326.004
"1","0",353505.338,5619322.81
"1","0",353502.416999999,5619321.283
"1","0",353481.037,5619315.691
"1","0",353465.743999999,5619311.902
"2","0",353548.901000001,5619341.192
"2","0",353538.806000002,5619360.391
"2","0",353507.173999999,5619420.557
"2","0",353522.217999998,5619428.466
"2","0",353560.721999999,5619387.455
"2","0",353577.217,5619356.079
"2","0",353548.901000001,5619341.192
"3","0",353488.344000001,5619349.06
"3","0",353467.022999998,5619389.461
"3","0",353481.170000002,5619396.927
"3","0",353502.471000001,5619391.087
"3","0",353514.331,5619368.614
"3","0",353502.491,5619356.527
"3","0",353488.344000001,5619349.06
"4","0",353409.366999999,5619382.872
"4","0",353403.43,5619394.118
"4","0",353399.778000001,5619411.442
"4","0",353439.460999999,5619432.391
"4","0",353451.274,5619419.301
"4","0",353457.18,5619408.111
"4","0",353409.366999999,5619382.872
"5","0",353452.215,5619426.057
"5","0",353446.815000001,5619436.278
"5","0",353458.511,5619442.455
"5","0",353463.909000002,5619432.233
"5","0",353452.215,5619426.057
"6","0",353527.208000001,5619470.3
"6","0",353488.076000001,5619471.82
"6","0",353468.458999999,5619508.373
"6","0",353486.155999999,5619517.871
"6","0",353519.241,5619528.625
"6","0",353545.322999999,5619480.022
"6","0",353527.208000001,5619470.3
"7","0",353573.000999998,5619645.263
"7","0",353560.010000002,5619669.495
"7","0",353653.431000002,5619719.58
"7","0",353666.421999998,5619695.348
"7","0",353573.000999998,5619645.263
"8","0",353718.958000001,5619627.253
"8","0",353711.971000001,5619640.281
"8","0",353675.907000002,5619721.255
"8","0",353669.835999999,5619738.038
"8","0",353695.352000002,5619751.722
"8","0",353752.16,5619663.22
"8","0",353759.725000001,5619649.114
"8","0",353718.958000001,5619627.253
"9","0",353547.296,5619693.208
"9","0",353539.738000002,5619707.307
"9","0",353633.158,5619757.391
"9","0",353640.717,5619743.293
"9","0",353547.296,5619693.208
"10","0",353683.408,5619794.858
"10","0",353678.052999999,5619808.243
"10","0",353697.515999999,5619816.029
"10","0",353702.870999999,5619802.645
"10","0",353683.408,5619794.858
"11","0",353924.045000002,5619222.435
"11","0",353914.824999999,5619222.965
"11","0",353880.045000002,5619230.617
"11","0",353834.702,5619311.049
"11","0",353847.464000002,5619318.243
"11","0",353896.412,5619290.238
"11","0",353911.276999999,5619274.274
"11","0",353922.717999998,5619253.978
"11","0",353932.081,5619226.965
"11","0",353924.045000002,5619222.435
"12","0",353804.146000002,5619340.477
"12","0",353797.541999999,5619353.04
"12","0",353806.535,5619357.767
"12","0",353813.138999999,5619345.204
"12","0",353804.146000002,5619340.477
"13","0",353963.219000001,5619318.429
"13","0",353932.98,5619356.9
"13","0",353908.721999999,5619399.96
"13","0",353916.585000001,5619407.186
"13","0",353923.171,5619410.897
"13","0",354007.901999999,5619425.839
"13","0",354021.728999998,5619405.591
"13","0",354036.201000001,5619379.895
"13","0",354049.094000001,5619348.853
"13","0",354043.052999999,5619339.277
"13","0",354020.456999999,5619326.552
"13","0",353963.219000001,5619318.429
"14","0",353713.107000001,5619574.836
"14","0",353705.550999999,5619589.207
"14","0",353769.458000001,5619622.812
"14","0",353777.015999999,5619608.442
"14","0",353713.107000001,5619574.836
"15","0",353813.289999999,5619579.44
"15","0",353785.671,5619631.965
"15","0",353780.463,5619669.8
"15","0",353791.965999998,5619675.848
"15","0",353807.750999998,5619678.783
"15","0",353812.862,5619669.062
"15","0",353824.794,5619585.488
"15","0",353813.289999999,5619579.44
"16","0",353713.295000002,5619767.583
"16","0",353707.723999999,5619781.507
"16","0",353807.048,5619821.248
"16","0",353812.618999999,5619807.324
"16","0",353713.295000002,5619767.583
"17","0",353706.550999999,5619808.534
"17","0",353700.613000002,5619823.387
"17","0",353799.973999999,5619863.106
"17","0",353805.912,5619848.254
"17","0",353706.550999999,5619808.534
