shapeid,partid,x,y
"0","0",353441.546,5619310.871
"0","0",353436.456,5619320.44
"0","0",353441.366999999,5619323.051
"0","0",353443.618000001,5619318.82
"0","0",353446.456999999,5619313.483
"0","0",353441.546,5619310.871
"1","0",353452.215,5619426.057
"1","0",353446.815000001,5619436.278
"1","0",353458.511,5619442.455
"1","0",353463.909000002,5619432.233
"1","0",353452.215,5619426.057
"2","0",353547.296,5619693.208
"2","0",353539.738000002,5619707.307
"2","0",353633.158,5619757.391
"2","0",353640.717,5619743.293
"2","0",353547.296,5619693.208
"3","0",353683.408,5619794.858
"3","0",353678.052999999,5619808.243
"3","0",353697.515999999,5619816.029
"3","0",353702.870999999,5619802.645
"3","0",353683.408,5619794.858
"4","0",353924.045000002,5619222.435
"4","0",353914.824999999,5619222.965
"4","0",353880.045000002,5619230.617
"4","0",353834.702,5619311.049
"4","0",353847.464000002,5619318.243
"4","0",353896.412,5619290.238
"4","0",353911.276999999,5619274.274
"4","0",353922.717999998,5619253.978
"4","0",353932.081,5619226.965
"4","0",353924.045000002,5619222.435
"5","0",353804.146000002,5619340.477
"5","0",353797.541999999,5619353.04
"5","0",353806.535,5619357.767
"5","0",353813.138999999,5619345.204
"5","0",353804.146000002,5619340.477
"6","0",353963.219000001,5619318.429
"6","0",353932.98,5619356.9
"6","0",353908.721999999,5619399.96
"6","0",353916.585000001,5619407.186
"6","0",353923.171,5619410.897
"6","0",354007.901999999,5619425.839
"6","0",354021.728999998,5619405.591
"6","0",354036.201000001,5619379.895
"6","0",354049.094000001,5619348.853
"6","0",354043.052999999,5619339.277
"6","0",354020.456999999,5619326.552
"6","0",353963.219000001,5619318.429
"7","0",353713.295000002,5619767.583
"7","0",353707.723999999,5619781.507
"7","0",353807.048,5619821.248
"7","0",353812.618999999,5619807.324
"7","0",353713.295000002,5619767.583
"8","0",353706.550999999,5619808.534
"8","0",353700.613000002,5619823.387
"8","0",353799.973999999,5619863.106
"8","0",353805.912,5619848.254
"8","0",353706.550999999,5619808.534
